time,Alt,Mach,heat_load,Wgt_On_Whl,Aircraft_state
612.0,10000.0,1.2,4000.0,0.0,4.0
614.0,10000.0,1.2,4000.0,0.0,4.0
616.0,10000.0,1.2,4000.0,0.0,4.0
618.0,10000.0,1.2,4000.0,0.0,4.0
620.0,10000.0,1.2,4000.0,0.0,4.0
622.0,10000.0,1.2,4000.0,0.0,4.0
624.0,10000.0,1.2,4000.0,0.0,4.0
626.0,10000.0,1.2,4000.0,0.0,4.0
628.0,10000.0,1.2,4000.0,0.0,4.0
630.0,10000.0,1.2,4000.0,0.0,4.0
632.0,10000.0,1.2,4000.0,0.0,4.0
634.0,10000.0,1.2,4000.0,0.0,4.0
636.0,10000.0,1.2,4000.0,0.0,4.0
638.0,10000.0,1.2,4000.0,0.0,4.0
640.0,10000.0,1.2,4000.0,0.0,4.0
642.0,10000.0,1.2,4000.0,0.0,4.0
644.0,10000.0,1.2,4000.0,0.0,4.0
646.0,10000.0,1.2,4000.0,0.0,4.0
648.0,10000.0,1.2,4000.0,0.0,4.0
650.0,10000.0,1.2,4000.0,0.0,4.0
652.0,10000.0,1.2,4000.0,0.0,4.0
654.0,10000.0,1.2,4000.0,0.0,4.0
656.0,10000.0,1.2,4000.0,0.0,4.0
658.0,10000.0,1.2,4000.0,0.0,4.0
660.0,10000.0,1.2,4000.0,0.0,4.0
662.0,10000.0,1.2,4000.0,0.0,4.0
664.0,10000.0,1.2,4000.0,0.0,4.0
666.0,10000.0,1.2,4000.0,0.0,4.0
668.0,10000.0,1.2,4000.0,0.0,4.0
670.0,10000.0,1.2,4000.0,0.0,4.0
672.0,10000.0,1.2,4000.0,0.0,4.0
674.0,10000.0,1.2,4000.0,0.0,4.0
676.0,10000.0,1.2,4000.0,0.0,4.0
678.0,10000.0,1.2,4000.0,0.0,4.0
680.0,10000.0,1.2,4000.0,0.0,4.0
682.0,10000.0,1.2,4000.0,0.0,4.0
684.0,10000.0,1.2,4000.0,0.0,4.0
686.0,10000.0,1.2,4000.0,0.0,4.0
688.0,10000.0,1.2,4000.0,0.0,4.0
690.0,10000.0,1.2,4000.0,0.0,4.0
692.0,10000.0,1.2,4000.0,0.0,4.0
694.0,10000.0,1.2,4000.0,0.0,4.0
696.0,10000.0,1.2,4000.0,0.0,4.0
698.0,10000.0,1.2,4000.0,0.0,4.0
700.0,10000.0,1.2,4000.0,0.0,4.0
702.0,10000.0,1.2,4000.0,0.0,4.0
704.0,10000.0,1.2,4000.0,0.0,4.0
706.0,10000.0,1.2,4000.0,0.0,4.0
708.0,10000.0,1.2,4000.0,0.0,4.0
710.0,10000.0,1.2,4000.0,0.0,4.0
712.0,10000.0,1.2,4000.0,0.0,4.0
714.0,10000.0,1.2,4000.0,0.0,4.0
716.0,10000.0,1.2,4000.0,0.0,4.0
718.0,10000.0,1.2,4000.0,0.0,4.0
720.0,10000.0,1.2,4000.0,0.0,4.0
722.0,10000.0,1.2,4000.0,0.0,4.0
724.0,10000.0,1.2,4000.0,0.0,4.0
726.0,10000.0,1.2,4000.0,0.0,4.0
728.0,10000.0,1.2,4000.0,0.0,4.0
730.0,10000.0,1.2,4000.0,0.0,4.0
732.0,10000.0,1.2,4000.0,0.0,4.0
734.0,10000.0,1.2,4000.0,0.0,4.0
736.0,10000.0,1.2,4000.0,0.0,4.0
738.0,10000.0,1.2,4000.0,0.0,4.0
740.0,10000.0,1.2,4000.0,0.0,4.0
742.0,10000.0,1.2,4000.0,0.0,4.0
744.0,10000.0,1.2,4000.0,0.0,4.0
746.0,10000.0,1.2,4000.0,0.0,4.0
748.0,10000.0,1.2,4000.0,0.0,4.0
750.0,10000.0,1.2,4000.0,0.0,4.0
752.0,10000.0,1.2,4000.0,0.0,4.0
754.0,10000.0,1.2,4000.0,0.0,4.0
756.0,10000.0,1.2,4000.0,0.0,4.0
758.0,10000.0,1.2,4000.0,0.0,4.0
760.0,10000.0,1.2,4000.0,0.0,4.0
762.0,10000.0,1.2,4000.0,0.0,4.0
764.0,10000.0,1.2,4000.0,0.0,4.0
766.0,10000.0,1.2,4000.0,0.0,4.0
768.0,10000.0,1.2,4000.0,0.0,4.0
770.0,10000.0,1.2,4000.0,0.0,4.0
772.0,10000.0,1.2,4000.0,0.0,4.0
774.0,10000.0,1.2,4000.0,0.0,4.0
776.0,10000.0,1.2,4000.0,0.0,4.0
778.0,10000.0,1.2,4000.0,0.0,4.0
780.0,10000.0,1.2,4000.0,0.0,4.0
782.0,10000.0,1.2,4000.0,0.0,4.0
784.0,10000.0,1.2,4000.0,0.0,4.0
786.0,10000.0,1.2,4000.0,0.0,4.0
788.0,10000.0,1.2,4000.0,0.0,4.0
